gene_id	tissue	expression
ENSG00000142615.7	Pancreas	5956
ENSG00000142615.7	Pancreas	1296
ENSG00000142615.7	Pancreas	1873
ENSG00000142615.7	Pancreas	3178
ENSG00000142615.7	Pancreas	4668
ENSG00000142615.7	Pancreas	8490
ENSG00000142615.7	Pancreas	5622
ENSG00000142615.7	Pancreas	1.751e+04
ENSG00000142615.7	Pancreas	3383
ENSG00000142615.7	Pancreas	203.9
ENSG00000142615.7	Pancreas	1787
ENSG00000142615.7	Pancreas	1750
ENSG00000142615.7	Pancreas	1.186e+04
ENSG00000142615.7	Pancreas	8918
ENSG00000142615.7	Pancreas	2671
ENSG00000142615.7	Pancreas	5615
ENSG00000142615.7	Pancreas	458.6
ENSG00000142615.7	Pancreas	7646
ENSG00000142615.7	Pancreas	54.71
ENSG00000142615.7	Pancreas	8409
ENSG00000142615.7	Pancreas	6328
ENSG00000142615.7	Pancreas	4146
ENSG00000142615.7	Pancreas	7265
ENSG00000142615.7	Pancreas	1016
ENSG00000142615.7	Pancreas	7178
ENSG00000142615.7	Pancreas	2817
ENSG00000142615.7	Pancreas	5040
ENSG00000142615.7	Pancreas	1610
ENSG00000142615.7	Pancreas	7902
ENSG00000142615.7	Pancreas	798.3
ENSG00000142615.7	Pancreas	2091
ENSG00000142615.7	Pancreas	5279
ENSG00000142615.7	Pancreas	8047
ENSG00000142615.7	Pancreas	2357
ENSG00000142615.7	Pancreas	3922
ENSG00000142615.7	Pancreas	1.152e+04
ENSG00000142615.7	Pancreas	5138
ENSG00000142615.7	Pancreas	3476
ENSG00000142615.7	Pancreas	6398
ENSG00000142615.7	Pancreas	9633
ENSG00000142615.7	Pancreas	1025
ENSG00000142615.7	Pancreas	6158
ENSG00000142615.7	Pancreas	6109
ENSG00000142615.7	Pancreas	1877
ENSG00000142615.7	Pancreas	4556
ENSG00000142615.7	Pancreas	2375
ENSG00000142615.7	Pancreas	5380
ENSG00000142615.7	Pancreas	2.259e+04
ENSG00000142615.7	Pancreas	5626
ENSG00000142615.7	Pancreas	1558
ENSG00000142615.7	Pancreas	963.9
ENSG00000142615.7	Pancreas	1.535e+04
ENSG00000142615.7	Pancreas	1.353e+04
ENSG00000142615.7	Pancreas	6616
ENSG00000142615.7	Pancreas	6285
ENSG00000142615.7	Pancreas	4204
ENSG00000142615.7	Pancreas	1.158e+04
ENSG00000142615.7	Pancreas	3307
ENSG00000142615.7	Pancreas	3354
ENSG00000142615.7	Pancreas	5941
ENSG00000142615.7	Pancreas	2219
ENSG00000142615.7	Pancreas	9869
ENSG00000142615.7	Pancreas	1.018e+04
ENSG00000142615.7	Pancreas	1536
ENSG00000142615.7	Pancreas	5015
ENSG00000142615.7	Pancreas	8979
ENSG00000142615.7	Pancreas	4462
ENSG00000142615.7	Pancreas	7674
ENSG00000142615.7	Pancreas	3550
ENSG00000142615.7	Pancreas	5955
ENSG00000142615.7	Pancreas	7782
